file,actual,template_score,sift_good_matches,homography_found,homography_inliers,inlier_ratio
ok_01.jpg,OK,0.535846,174,1,167,0.95977
ok_02.jpg,OK,0.544862,174,1,158,0.908046
ok_03.jpg,OK,0.556364,184,1,164,0.891304
ok_04.jpg,OK,0.425379,151,1,142,0.940397
ok_05.jpg,OK,0.552585,161,1,147,0.913043
ok_06.jpg,OK,0.440258,74,1,60,0.810811
ng_01.jpg,NG,0.531258,126,1,120,0.952381
ng_02.jpg,NG,0.442885,99,1,81,0.818182
ng_03.jpg,NG,0.484058,141,1,109,0.77305
ng_04.jpg,NG,0.536214,161,1,139,0.863354
ng_05.jpg,NG,0.525607,107,1,94,0.878505
ng_06.jpg,NG,0.461591,109,1,91,0.834862
