sift_good_matches_min,inlier_ratio_min,accuracy,tp,tn,fp,fn,total_error
129,0.8664,0.9167,6,5,1,0,1
129,0.8797,0.9167,6,5,1,0,1
137,0.8664,0.9167,6,5,1,0,1
137,0.8797,0.9167,6,5,1,0,1
145,0.8664,0.9167,6,5,1,0,1
145,0.8797,0.9167,6,5,1,0,1
129,0.8931,0.8333,6,4,2,0,2
129,0.9064,0.8333,6,4,2,0,2
137,0.8931,0.8333,6,4,2,0,2
137,0.9064,0.8333,6,4,2,0,2
145,0.8931,0.8333,6,4,2,0,2
145,0.9064,0.8333,6,4,2,0,2
153,0.8664,0.8333,6,4,2,0,2
153,0.8797,0.8333,6,4,2,0,2
160,0.8664,0.8333,6,4,2,0,2
160,0.8797,0.8333,6,4,2,0,2
153,0.8931,0.75,6,3,3,0,3
153,0.9064,0.75,6,3,3,0,3
160,0.8931,0.75,6,3,3,0,3
160,0.9064,0.75,6,3,3,0,3
168,0.7731,0.75,6,3,3,0,3
168,0.7864,0.75,6,3,3,0,3
168,0.7997,0.75,6,3,3,0,3
168,0.8131,0.75,6,3,3,0,3
168,0.8264,0.75,6,3,3,0,3
168,0.8397,0.75,6,3,3,0,3
168,0.8531,0.75,6,3,3,0,3
168,0.8664,0.75,6,3,3,0,3
168,0.8797,0.75,6,3,3,0,3
129,0.9198,0.6667,6,2,4,0,4
129,0.9331,0.6667,6,2,4,0,4
137,0.9198,0.6667,6,2,4,0,4
137,0.9331,0.6667,6,2,4,0,4
145,0.9198,0.6667,6,2,4,0,4
145,0.9331,0.6667,6,2,4,0,4
168,0.8931,0.6667,6,2,4,0,4
168,0.9064,0.6667,6,2,4,0,4
129,0.9464,0.5833,6,1,5,0,5
137,0.9464,0.5833,6,1,5,0,5
145,0.9464,0.5833,6,1,5,0,5
153,0.9198,0.5833,6,1,5,0,5
153,0.9331,0.5833,6,1,5,0,5
153,0.9464,0.5833,6,1,5,0,5
160,0.9198,0.5833,6,1,5,0,5
160,0.9331,0.5833,6,1,5,0,5
160,0.9464,0.5833,6,1,5,0,5
168,0.9198,0.5833,6,1,5,0,5
168,0.9331,0.5833,6,1,5,0,5
168,0.9464,0.5833,6,1,5,0,5
176,0.7731,0.5833,6,1,5,0,5
176,0.7864,0.5833,6,1,5,0,5
176,0.7997,0.5833,6,1,5,0,5
176,0.8131,0.5833,6,1,5,0,5
176,0.8264,0.5833,6,1,5,0,5
176,0.8397,0.5833,6,1,5,0,5
176,0.8531,0.5833,6,1,5,0,5
176,0.8664,0.5833,6,1,5,0,5
176,0.8797,0.5833,6,1,5,0,5
184,0.7731,0.5833,6,1,5,0,5
184,0.7864,0.5833,6,1,5,0,5
184,0.7997,0.5833,6,1,5,0,5
184,0.8131,0.5833,6,1,5,0,5
184,0.8264,0.5833,6,1,5,0,5
184,0.8397,0.5833,6,1,5,0,5
184,0.8531,0.5833,6,1,5,0,5
184,0.8664,0.5833,6,1,5,0,5
184,0.8797,0.5833,6,1,5,0,5
74,0.9598,0.5,6,0,6,0,6
82,0.9598,0.5,6,0,6,0,6
90,0.9598,0.5,6,0,6,0,6
98,0.9598,0.5,6,0,6,0,6
105,0.9598,0.5,6,0,6,0,6
113,0.9598,0.5,6,0,6,0,6
121,0.9598,0.5,6,0,6,0,6
129,0.9598,0.5,6,0,6,0,6
137,0.9598,0.5,6,0,6,0,6
145,0.9598,0.5,6,0,6,0,6
153,0.9598,0.5,6,0,6,0,6
160,0.9598,0.5,6,0,6,0,6
168,0.9598,0.5,6,0,6,0,6
176,0.8931,0.5,6,0,6,0,6
176,0.9064,0.5,6,0,6,0,6
176,0.9198,0.5,6,0,6,0,6
176,0.9331,0.5,6,0,6,0,6
176,0.9464,0.5,6,0,6,0,6
176,0.9598,0.5,6,0,6,0,6
184,0.8931,0.5,6,0,6,0,6
184,0.9064,0.5,6,0,6,0,6
184,0.9198,0.5,6,0,6,0,6
184,0.9331,0.5,6,0,6,0,6
184,0.9464,0.5,6,0,6,0,6
184,0.9598,0.5,6,0,6,0,6
74,0.8797,0.8333,5,5,1,1,2
82,0.8797,0.8333,5,5,1,1,2
90,0.8797,0.8333,5,5,1,1,2
98,0.8797,0.8333,5,5,1,1,2
105,0.8797,0.8333,5,5,1,1,2
113,0.8664,0.8333,5,5,1,1,2
113,0.8797,0.8333,5,5,1,1,2
121,0.8664,0.8333,5,5,1,1,2
121,0.8797,0.8333,5,5,1,1,2
129,0.7731,0.8333,5,5,1,1,2
129,0.7864,0.8333,5,5,1,1,2
129,0.7997,0.8333,5,5,1,1,2
129,0.8131,0.8333,5,5,1,1,2
129,0.8264,0.8333,5,5,1,1,2
129,0.8397,0.8333,5,5,1,1,2
129,0.8531,0.8333,5,5,1,1,2
137,0.7731,0.8333,5,5,1,1,2
137,0.7864,0.8333,5,5,1,1,2
137,0.7997,0.8333,5,5,1,1,2
137,0.8131,0.8333,5,5,1,1,2
137,0.8264,0.8333,5,5,1,1,2
137,0.8397,0.8333,5,5,1,1,2
137,0.8531,0.8333,5,5,1,1,2
145,0.7731,0.8333,5,5,1,1,2
145,0.7864,0.8333,5,5,1,1,2
145,0.7997,0.8333,5,5,1,1,2
145,0.8131,0.8333,5,5,1,1,2
145,0.8264,0.8333,5,5,1,1,2
145,0.8397,0.8333,5,5,1,1,2
145,0.8531,0.8333,5,5,1,1,2
74,0.8931,0.75,5,4,2,1,3
74,0.9064,0.75,5,4,2,1,3
82,0.8931,0.75,5,4,2,1,3
82,0.9064,0.75,5,4,2,1,3
90,0.8931,0.75,5,4,2,1,3
90,0.9064,0.75,5,4,2,1,3
98,0.8931,0.75,5,4,2,1,3
98,0.9064,0.75,5,4,2,1,3
105,0.8931,0.75,5,4,2,1,3
105,0.9064,0.75,5,4,2,1,3
113,0.8931,0.75,5,4,2,1,3
113,0.9064,0.75,5,4,2,1,3
121,0.8931,0.75,5,4,2,1,3
121,0.9064,0.75,5,4,2,1,3
153,0.7731,0.75,5,4,2,1,3
153,0.7864,0.75,5,4,2,1,3
153,0.7997,0.75,5,4,2,1,3
153,0.8131,0.75,5,4,2,1,3
153,0.8264,0.75,5,4,2,1,3
153,0.8397,0.75,5,4,2,1,3
153,0.8531,0.75,5,4,2,1,3
160,0.7731,0.75,5,4,2,1,3
160,0.7864,0.75,5,4,2,1,3
160,0.7997,0.75,5,4,2,1,3
160,0.8131,0.75,5,4,2,1,3
160,0.8264,0.75,5,4,2,1,3
160,0.8397,0.75,5,4,2,1,3
160,0.8531,0.75,5,4,2,1,3
74,0.9198,0.5833,5,2,4,1,5
74,0.9331,0.5833,5,2,4,1,5
82,0.9198,0.5833,5,2,4,1,5
82,0.9331,0.5833,5,2,4,1,5
90,0.9198,0.5833,5,2,4,1,5
90,0.9331,0.5833,5,2,4,1,5
98,0.9198,0.5833,5,2,4,1,5
98,0.9331,0.5833,5,2,4,1,5
105,0.9198,0.5833,5,2,4,1,5
105,0.9331,0.5833,5,2,4,1,5
113,0.9198,0.5833,5,2,4,1,5
113,0.9331,0.5833,5,2,4,1,5
121,0.9198,0.5833,5,2,4,1,5
121,0.9331,0.5833,5,2,4,1,5
74,0.9464,0.5,5,1,5,1,6
82,0.9464,0.5,5,1,5,1,6
90,0.9464,0.5,5,1,5,1,6
98,0.9464,0.5,5,1,5,1,6
105,0.9464,0.5,5,1,5,1,6
113,0.9464,0.5,5,1,5,1,6
121,0.9464,0.5,5,1,5,1,6
74,0.8664,0.75,4,5,1,2,3
82,0.8664,0.75,4,5,1,2,3
90,0.8664,0.75,4,5,1,2,3
98,0.8664,0.75,4,5,1,2,3
105,0.8664,0.75,4,5,1,2,3
113,0.7731,0.75,4,5,1,2,3
113,0.7864,0.75,4,5,1,2,3
113,0.7997,0.75,4,5,1,2,3
113,0.8131,0.75,4,5,1,2,3
113,0.8264,0.75,4,5,1,2,3
113,0.8397,0.75,4,5,1,2,3
113,0.8531,0.75,4,5,1,2,3
121,0.7731,0.75,4,5,1,2,3
121,0.7864,0.75,4,5,1,2,3
121,0.7997,0.75,4,5,1,2,3
121,0.8131,0.75,4,5,1,2,3
121,0.8264,0.75,4,5,1,2,3
121,0.8397,0.75,4,5,1,2,3
121,0.8531,0.75,4,5,1,2,3
74,0.8397,0.6667,3,5,1,3,4
74,0.8531,0.6667,3,5,1,3,4
82,0.8397,0.6667,3,5,1,3,4
82,0.8531,0.6667,3,5,1,3,4
90,0.8397,0.6667,3,5,1,3,4
90,0.8531,0.6667,3,5,1,3,4
98,0.8397,0.6667,3,5,1,3,4
98,0.8531,0.6667,3,5,1,3,4
105,0.8397,0.6667,3,5,1,3,4
105,0.8531,0.6667,3,5,1,3,4
74,0.8264,0.5833,2,5,1,4,5
82,0.8264,0.5833,2,5,1,4,5
90,0.8264,0.5833,2,5,1,4,5
98,0.8264,0.5833,2,5,1,4,5
105,0.7731,0.5833,2,5,1,4,5
105,0.7864,0.5833,2,5,1,4,5
105,0.7997,0.5833,2,5,1,4,5
105,0.8131,0.5833,2,5,1,4,5
105,0.8264,0.5833,2,5,1,4,5
74,0.7731,0.5833,1,6,0,5,5
74,0.7864,0.5833,1,6,0,5,5
74,0.7997,0.5833,1,6,0,5,5
74,0.8131,0.5,1,5,1,5,6
82,0.7731,0.5,1,5,1,5,6
82,0.7864,0.5,1,5,1,5,6
82,0.7997,0.5,1,5,1,5,6
82,0.8131,0.5,1,5,1,5,6
90,0.7731,0.5,1,5,1,5,6
90,0.7864,0.5,1,5,1,5,6
90,0.7997,0.5,1,5,1,5,6
90,0.8131,0.5,1,5,1,5,6
98,0.7731,0.5,1,5,1,5,6
98,0.7864,0.5,1,5,1,5,6
98,0.7997,0.5,1,5,1,5,6
98,0.8131,0.5,1,5,1,5,6
