file,actual,defect_type,anomaly_score,threshold,predicted,error_type,correct
samples/day07/test/normal/000.png,Normal,good,0.050054,0.067469,Normal,TN,True
samples/day07/test/normal/001.png,Normal,good,0.046817,0.067469,Normal,TN,True
samples/day07/test/normal/002.png,Normal,good,0.051211,0.067469,Normal,TN,True
samples/day07/test/normal/003.png,Normal,good,0.035733,0.067469,Normal,TN,True
samples/day07/test/normal/004.png,Normal,good,0.046566,0.067469,Normal,TN,True
samples/day07/test/normal/005.png,Normal,good,0.040178,0.067469,Normal,TN,True
samples/day07/test/normal/006.png,Normal,good,0.069471,0.067469,Anomaly,FP,False
samples/day07/test/normal/007.png,Normal,good,0.057305,0.067469,Normal,TN,True
samples/day07/test/normal/008.png,Normal,good,0.06193,0.067469,Normal,TN,True
samples/day07/test/normal/009.png,Normal,good,0.041816,0.067469,Normal,TN,True
samples/day07/test/normal/010.png,Normal,good,0.057262,0.067469,Normal,TN,True
samples/day07/test/normal/011.png,Normal,good,0.043506,0.067469,Normal,TN,True
samples/day07/test/normal/012.png,Normal,good,0.051024,0.067469,Normal,TN,True
samples/day07/test/normal/013.png,Normal,good,0.053017,0.067469,Normal,TN,True
samples/day07/test/normal/014.png,Normal,good,0.048826,0.067469,Normal,TN,True
samples/day07/test/normal/015.png,Normal,good,0.07063,0.067469,Anomaly,FP,False
samples/day07/test/normal/016.png,Normal,good,0.053815,0.067469,Normal,TN,True
samples/day07/test/normal/017.png,Normal,good,0.0379,0.067469,Normal,TN,True
samples/day07/test/normal/018.png,Normal,good,0.06121,0.067469,Normal,TN,True
samples/day07/test/normal/019.png,Normal,good,0.054399,0.067469,Normal,TN,True
samples/day07/test/anomaly/broken_large/000.png,Anomaly,broken_large,0.175958,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/001.png,Anomaly,broken_large,0.168745,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/002.png,Anomaly,broken_large,0.23832,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/003.png,Anomaly,broken_large,0.309543,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/004.png,Anomaly,broken_large,0.102548,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/005.png,Anomaly,broken_large,0.107919,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/006.png,Anomaly,broken_large,0.21725,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/007.png,Anomaly,broken_large,0.198422,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/008.png,Anomaly,broken_large,0.179567,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/009.png,Anomaly,broken_large,0.096894,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/010.png,Anomaly,broken_large,0.159164,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/011.png,Anomaly,broken_large,0.09052,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/012.png,Anomaly,broken_large,0.134028,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/013.png,Anomaly,broken_large,0.198714,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/014.png,Anomaly,broken_large,0.089294,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/015.png,Anomaly,broken_large,0.146671,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/016.png,Anomaly,broken_large,0.199222,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/017.png,Anomaly,broken_large,0.179051,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/018.png,Anomaly,broken_large,0.205221,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_large/019.png,Anomaly,broken_large,0.182236,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/000.png,Anomaly,broken_small,0.053304,0.067469,Normal,FN,False
samples/day07/test/anomaly/broken_small/001.png,Anomaly,broken_small,0.089468,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/002.png,Anomaly,broken_small,0.110125,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/003.png,Anomaly,broken_small,0.140319,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/004.png,Anomaly,broken_small,0.095073,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/005.png,Anomaly,broken_small,0.091749,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/006.png,Anomaly,broken_small,0.083007,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/007.png,Anomaly,broken_small,0.064831,0.067469,Normal,FN,False
samples/day07/test/anomaly/broken_small/008.png,Anomaly,broken_small,0.124842,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/009.png,Anomaly,broken_small,0.062532,0.067469,Normal,FN,False
samples/day07/test/anomaly/broken_small/010.png,Anomaly,broken_small,0.093701,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/011.png,Anomaly,broken_small,0.065644,0.067469,Normal,FN,False
samples/day07/test/anomaly/broken_small/012.png,Anomaly,broken_small,0.135541,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/013.png,Anomaly,broken_small,0.088478,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/014.png,Anomaly,broken_small,0.077458,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/015.png,Anomaly,broken_small,0.128941,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/016.png,Anomaly,broken_small,0.072435,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/017.png,Anomaly,broken_small,0.097494,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/018.png,Anomaly,broken_small,0.098776,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/019.png,Anomaly,broken_small,0.085056,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/020.png,Anomaly,broken_small,0.097428,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/broken_small/021.png,Anomaly,broken_small,0.07127,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/000.png,Anomaly,contamination,0.169025,0.067469,Anomaly,TP,True
samples/day07/test/anomaly/contamination/001.png,Anomaly,contamination,0.10478,0.067469,Anomaly,TP,True
