synthetic_file,source_normal,source_defect,defect_type,seed,x,y,width,height,rotation,scale
synthetic_000.png,030.png,003.png,broken_small,42,71,142,633,350,-7.65,1.071
synthetic_001.png,177.png,003.png,broken_small,42,47,201,589,325,-14.05,0.995
synthetic_002.png,047.png,003.png,broken_small,42,279,304,580,320,6.48,0.981
synthetic_003.png,047.png,018.png,broken_small,42,225,171,333,373,9.28,0.995
synthetic_004.png,169.png,018.png,broken_small,42,311,142,281,315,-8.54,0.839
synthetic_005.png,030.png,018.png,broken_small,42,379,225,250,281,10.42,0.748
synthetic_006.png,002.png,018.png,broken_small,42,273,130,324,364,14.19,0.968
synthetic_007.png,177.png,018.png,broken_small,42,271,385,373,419,3.56,1.115
synthetic_008.png,047.png,003.png,broken_small,42,234,130,427,236,-8.16,0.723
synthetic_009.png,047.png,003.png,broken_small,42,186,173,526,291,-1.4,0.89
synthetic_010.png,124.png,018.png,broken_small,42,399,421,269,302,-6.99,0.805
synthetic_011.png,030.png,003.png,broken_small,42,236,284,572,316,-7.66,0.967
synthetic_012.png,069.png,003.png,broken_small,42,28,207,617,340,10.29,1.042
synthetic_013.png,002.png,018.png,broken_small,42,370,457,301,338,-13.01,0.901
synthetic_014.png,124.png,003.png,broken_small,42,234,163,608,336,-3.13,1.028
synthetic_015.png,069.png,003.png,broken_small,42,134,472,487,269,1.84,0.823
synthetic_016.png,187.png,018.png,broken_small,42,253,160,384,431,-3.02,1.149
synthetic_017.png,177.png,018.png,broken_small,42,253,168,249,280,-13.59,0.745
synthetic_018.png,044.png,018.png,broken_small,42,301,329,334,375,-3.46,0.998
synthetic_019.png,177.png,018.png,broken_small,42,225,148,397,445,10.82,1.186
