sample_id,file,actual,normal_similarity,anomaly_similarity,predicted,correct
normal/000.png,000.png,Normal,0.990703,0.98462,Normal,True
normal/001.png,001.png,Normal,0.993053,0.986839,Normal,True
normal/002.png,002.png,Normal,0.990798,0.987417,Normal,True
normal/003.png,003.png,Normal,0.992335,0.985275,Normal,True
normal/004.png,004.png,Normal,0.99038,0.983978,Normal,True
normal/005.png,005.png,Normal,0.993298,0.983524,Normal,True
normal/006.png,006.png,Normal,0.968309,0.963833,Normal,True
normal/007.png,007.png,Normal,0.992056,0.983506,Normal,True
normal/008.png,008.png,Normal,0.989684,0.980107,Normal,True
normal/009.png,009.png,Normal,0.991442,0.985416,Normal,True
anomaly/broken_small/000.png,000.png,Anomaly,0.988361,0.981076,Normal,False
anomaly/broken_small/005.png,005.png,Anomaly,0.963409,0.968412,Anomaly,True
anomaly/broken_small/006.png,006.png,Anomaly,0.975087,0.978724,Anomaly,True
anomaly/broken_small/007.png,007.png,Anomaly,0.987516,0.98742,Normal,False
anomaly/broken_small/008.png,008.png,Anomaly,0.971028,0.977322,Anomaly,True
anomaly/broken_small/012.png,012.png,Anomaly,0.957342,0.967517,Anomaly,True
anomaly/broken_small/015.png,015.png,Anomaly,0.977459,0.982552,Anomaly,True
anomaly/broken_small/016.png,016.png,Anomaly,0.98621,0.986632,Anomaly,True
anomaly/broken_small/020.png,020.png,Anomaly,0.977411,0.980668,Anomaly,True
anomaly/broken_small/021.png,021.png,Anomaly,0.982463,0.983102,Anomaly,True
