file,condition,actual,mean_brightness,anomaly_score,threshold,predicted,false_positive
000.png,baseline,Normal,136.971,0.050054,0.067469,Normal,False
001.png,baseline,Normal,136.699,0.046817,0.067469,Normal,False
002.png,baseline,Normal,138.887,0.051211,0.067469,Normal,False
003.png,baseline,Normal,138.446,0.035733,0.067469,Normal,False
004.png,baseline,Normal,136.709,0.046566,0.067469,Normal,False
005.png,baseline,Normal,138.436,0.040178,0.067469,Normal,False
006.png,baseline,Normal,138.551,0.069471,0.067469,Anomaly,True
007.png,baseline,Normal,136.718,0.057305,0.067469,Normal,False
008.png,baseline,Normal,137.396,0.06193,0.067469,Normal,False
009.png,baseline,Normal,136.059,0.041816,0.067469,Normal,False
010.png,baseline,Normal,136.676,0.057262,0.067469,Normal,False
011.png,baseline,Normal,138.188,0.043506,0.067469,Normal,False
012.png,baseline,Normal,136.892,0.051024,0.067469,Normal,False
013.png,baseline,Normal,140.651,0.053017,0.067469,Normal,False
014.png,baseline,Normal,138.228,0.048826,0.067469,Normal,False
015.png,baseline,Normal,136.74,0.07063,0.067469,Anomaly,True
016.png,baseline,Normal,138.224,0.053815,0.067469,Normal,False
017.png,baseline,Normal,138.158,0.0379,0.067469,Normal,False
018.png,baseline,Normal,135.784,0.06121,0.067469,Normal,False
019.png,baseline,Normal,139.458,0.054399,0.067469,Normal,False
000.png,lighting,Normal,88.791,0.111688,0.067469,Anomaly,True
001.png,lighting,Normal,88.625,0.110495,0.067469,Anomaly,True
002.png,lighting,Normal,90.058,0.108538,0.067469,Anomaly,True
003.png,lighting,Normal,89.749,0.111323,0.067469,Anomaly,True
004.png,lighting,Normal,88.617,0.115256,0.067469,Anomaly,True
005.png,lighting,Normal,89.745,0.108003,0.067469,Anomaly,True
006.png,lighting,Normal,89.783,0.120294,0.067469,Anomaly,True
007.png,lighting,Normal,88.631,0.110975,0.067469,Anomaly,True
008.png,lighting,Normal,89.059,0.12571,0.067469,Anomaly,True
009.png,lighting,Normal,88.199,0.113062,0.067469,Anomaly,True
010.png,lighting,Normal,88.595,0.115009,0.067469,Anomaly,True
011.png,lighting,Normal,89.607,0.109987,0.067469,Anomaly,True
012.png,lighting,Normal,88.742,0.106203,0.067469,Anomaly,True
013.png,lighting,Normal,91.183,0.108805,0.067469,Anomaly,True
014.png,lighting,Normal,89.599,0.114635,0.067469,Anomaly,True
015.png,lighting,Normal,88.657,0.122914,0.067469,Anomaly,True
016.png,lighting,Normal,89.612,0.112907,0.067469,Anomaly,True
017.png,lighting,Normal,89.551,0.107707,0.067469,Anomaly,True
018.png,lighting,Normal,88.019,0.12044,0.067469,Anomaly,True
019.png,lighting,Normal,90.415,0.103751,0.067469,Anomaly,True
